====================================================================================================
高级IP/域名质量测试报告
生成时间: 2026-01-22 12:59:00
====================================================================================================

排序说明: 按综合评分降序排列（评分越高质量越好）

排名   目标                             延迟(ms)     丢包率(%)     抖动(ms)     TCP连接(ms)    综合评分       流媒体        游戏         实时通信       状态        
----------------------------------------------------------------------------------------------------------------------------------
1    cf.877771.xyz                  28.0       0.0        7.9        228.6        80         100        100        100        成功
2    34.143.159.175:443#SG-频道@kejil 103.9      0.0        5.4        100.8        74         90         80         90         成功
3    194.58.33.218:443#DE-频道@kejila 138.2      0.0        7.4        132.4        73         90         80         90         成功
4    2.59.183.181:443#NL-频道@kejilan 154.6      0.0        1.7        161.9        69         90         70         85         成功
5    176.109.106.61:8443#RU-频道@keji 155.1      0.0        1.7        162.6        69         90         70         85         成功
6    89.169.13.242:443#DE-频道@kejila 154.5      0.0        2.4        142.1        68         90         70         85         成功
7    saas.sin.fan#加入频道@kejiland00   163.8      0.0        0.8        203.8        68         90         70         85         成功
8    cloudflare.182682.xyz          187.7      0.0        6.9        182.9        68         90         70         85         成功
9    89.169.13.12:443#DE-频道@kejilan 165.0      0.0        9.3        137.5        67         90         70         85         成功
10   163.5.207.31:443#NL-频道@kejilan 165.9      0.0        6.3        152.2        67         90         70         85         成功
11   2.59.183.219:443#NL-频道@kejilan 150.0      0.0        3.7        2174.1       64         90         80         90         成功
12   163.5.207.235:443#NL-频道@kejila 204.2      0.0        4.2        176.6        63         70         70         80         成功
13   5.39.249.146:443#DE-频道@kejilan 292.1      0.0        1.9        255.3        62         70         70         80         成功
14   cf.090227.xyz                  193.2      0.0        1.1        201.5        61         90         70         85         成功
15   2.59.183.233:444#NL-频道@kejilan 200.6      0.0        5.3        162.4        61         70         70         80         成功
16   31.133.0.167:2053#PL-频道@kejila 203.9      0.0        2.8        245.6        61         70         70         80         成功
17   195.135.253.29:443#LT-频道@kejil 257.1      0.0        2.8        244.3        61         70         70         80         成功
18   5.34.209.139:2053#LT-频道@kejila 286.1      0.0        2.8        237.2        61         70         70         80         成功
19   2.56.204.183:443#AM-频道@kejilan 286.3      0.0        4.4        232.4        61         70         70         80         成功
20   cf.zhetengsha.eu.org           185.0      0.0        1.3        210.3        60         90         70         85         成功
21   jp.111000.cc.cd                208.4      0.0        3.8        211.4        60         70         70         80         成功
22   icook.tw                       229.2      0.0        8.0        237.6        59         70         70         80         成功
23   cdn.2020111.xyz                204.2      0.0        11.0       212.4        58         70         70         70         成功
24   cfip.1323123.xyz               204.4      0.0        12.4       244.1        58         70         70         70         成功
25   freeyx.cloudflare88.eu.org     206.8      0.0        9.2        234.1        58         70         70         80         成功
26   31.133.0.159:2053#PL-频道@kejila 183.7      10.0       3.5        210.4        57         50         30         55         成功
27   bestcf.top                     214.4      0.0        7.6        256.1        56         70         70         80         成功
28   185.188.147.79:443#PL-频道@kejil 267.7      0.0        36.7       182.0        55         70         60         50         成功
29   45.89.52.247:443#NL-频道@kejilan 285.3      0.0        41.1       170.1        54         70         60         50         成功
30   cfip.cfcdn.vip                 243.6      0.0        40.5       243.4        51         70         60         50         成功
31   xn--b6gac.eu.org               462.4      10.0       111.3      568.5        34         0          10         20         成功
