目标                             延迟(ms)       丢包率(%)       状态        
----------------------------------------------------------------------
www.digitalocean.com           162.0        0.0          成功        
108.162.198.99                 165.0        0.0          成功        
saas.sin.fan                   176.0        0.0          成功        
time.is                        178.0        0.0          成功        
cdn.2020111.xyz                184.0        0.0          成功        
cu.cloudflare.cnae.top         185.0        0.0          成功        
cf.zhetengsha.eu.org           187.0        0.0          成功        
cf.090227.xyz                  189.0        0.0          成功        
cf.877771.xyz                  190.0        0.0          成功        
www.government.se              192.0        0.0          成功        
cf.008500.xyz                  196.0        0.0          成功        
172.64.229.144                 197.0        0.0          成功        
172.64.40.216                  197.0        0.0          成功        
www.visa.com                   198.0        0.0          成功        
cf.130519.xyz                  198.0        0.0          成功        
icook.hk                       198.0        0.0          成功        
cdns.doon.eu.org               198.0        0.0          成功        
store.ubi.com                  198.0        0.0          成功        
162.159.38.86                  198.0        0.0          成功        
cf.130519.xyz                  199.0        0.0          成功        
172.64.53.163                  199.0        0.0          成功        
sub.danfeng.eu.org             200.0        0.0          成功        
csgo.com                       202.0        0.0          成功        
www.shopify.com                203.0        0.0          成功        
bestcf.top                     203.0        0.0          成功        
ip.164746.xyz                  203.0        0.0          成功        
162.159.45.124                 203.0        0.0          成功        
104.18.32.41                   204.0        0.0          成功        
162.159.44.168                 205.0        0.0          成功        
172.64.52.247                  205.0        0.0          成功        
162.159.39.49                  206.0        0.0          成功        
store.ubi.com:443              超时           100.0        成功        
speed.marisalnc.com            超时           100.0        成功        
20.247.137.183:443#新加坡         超时           100.0        成功        
168.138.165.174:443#新加坡        超时           100.0        成功        
61.85.1.77:12088#美国            超时           100.0        成功        
140.238.50.134:443#日本          超时           100.0        成功        
211.229.77.184:27443#韩国        超时           100.0        成功        
59.31.68.195:50001#韩国          超时           100.0        成功        
111.171.108.67:50001#韩国        超时           100.0        成功        
141.147.185.63:443#日本          超时           100.0        成功        
168.138.184.172:443#新加坡        超时           100.0        成功        
34.143.159.175:443#新加坡         超时           100.0        成功        
61.83.202.17:10042#美国          超时           100.0        成功        
138.2.18.82:8880#日本            超时           100.0        成功        
172.64.49.166:443#洛杉矶-9.51MB/s 超时           100.0        成功        
104.17.203.53:443#圣何塞-4.81MB/s 超时           100.0        成功        
104.17.151.112:443#圣何塞-5.60MB/s 超时           100.0        成功        
104.17.170.94:443#圣何塞-3.30MB/s 超时           100.0        成功        
104.17.37.200:443#圣何塞-3.62MB/s 超时           100.0        成功        
104.17.176.31:443#圣何塞-4.28MB/s 超时           100.0        成功        
104.17.188.222:443#圣何塞-4.27MB/s 超时           100.0        成功        
104.17.205.68:443#圣何塞-3.29MB/s 超时           100.0        成功        
104.17.181.231:443#圣何塞-3.93MB/s 超时           100.0        成功        
104.17.154.66:443#圣何塞-3.21MB/s 超时           100.0        成功        
